text	Trump	Biden	West	HOF
damianwolf19 snickypoo49 lauriekaftanic pergolaman lwootton beachtimeagain tru561 carbonmonoxid17 goody tracy americaisdamned cpdagosta dougbva jfdeegan krisrocco2 redreader5252 bobdog444 0802 lillith ibelizeit stepheninla thank you for the mention! everyone excited about the debate tonight hope you have snacks! bidenharris2020 	Neither	Favor	Neither	Non-Hateful
the kkk is a racist organization that promoted slavery. the democraticparty is a racist organization that promoted slavery. are you a proud democrat trump2020 	Favor	Against	Neither	Non-Hateful
so proud to vote today in michigan for joebiden and kamalaharris -- but especially giddy to vote for kamala! (sorry, joe. nothing personal. you'll be a great potus, but i am so excited for our first woman vp. bonus: kamala and i are both 1964 babies.) bidenharris2020 	Neither	Favor	Neither	Non-Hateful
it doesn't matter if trump didn't mean anything by stand back and stand by. interpretation is everything and the proud boys interpreted that as marching orders. it also doesn't matter that he denounced white supremacy a day later.. it should've been immediate. biden2020	Against	Favor	Neither	Non-Hateful
president trump's lack of honesty on the pandemic hangs over his reelection bid | analysis 	Neutral mentions	Neither	Neither	Non-Hateful
watch: woman driver taunts, flips off trump supporters. then she plows into the car in front of her. libfail news tds trump2020 trumpsupporters	Favor	Neither	Neither	Non-Hateful
trump flies around the country superspreading covid-19 and wild conspiracies at his rallies. another from a series from clapanta . nationalvoterregistrationday biden biden2020 trumplied200kamericansdied votebluetoendthisnightmare if you agree, rt this and subscribe 	Against	Favor	Neither	Non-Hateful
trump is making all types of economic peace deals. while democrats are creating mobs tearing down historical statutes and destroying whole cities. its a no brainer on who to vote for in 2020. trump builds! democrats destroy! trump2020. trump2020landslidevictory	Favor	Against	Neither	Non-Hateful
typical trump. putting his staff and drivers at risk of contracting covid to go for a propaganda joy ride outside walter reed. meanwhile, most people can't even visit their dying family members for 5min. bidenharris2020 votehimout2020	Against	Favor	Neither	Non-Hateful
proud boys taking their queue from trump today trumpmeltdown bidenharris2020 	Against	Favor	Neither	Non-Hateful
got my vote on today. trump2020 	Favor	Neither	Neither	Non-Hateful
joe biden and kamala harris expected to address the nation friday night. nydailynews	Neither	Neutral mentions	Neither	Non-Hateful
ichadlowe 57 year old woman, owning my own business, raised 2 excellent children. ones a nurse ones a teacher.. i'm neither rich, white supremacist nor stupid. i do however, find hollywood disgusting since trump became president. not that ur considered hollywood trump2020	Favor	Neither	Neither	Non-Hateful
thehill will johnlegend still he on the advisory board for activist protestors bailproject when he leaves the country let's test it trump2020	Favor	Neither	Neither	Non-Hateful
warpedpoetry21 turn on at least one tv and tune in to biden. give him the ratings, just to stick it to trump.	Against	Neutral mentions	Neither	Non-Hateful
ms hotmess mikelbullard siva chanel icecube yet i bet your voting for joe biden who has by far the most racist history between the two.. makes everything you say irrelevant.. joe biden and kamala harris has some more harm to the black community than donald trump ever did.. 	Favor	Against	Neither	Non-Hateful
realdonaldtrump no you won't.. start preparing for your jail time.. it's coming.. bidenharris2020	Against	Favor	Neither	Non-Hateful
people actually think biden has a chance against trump2020 	Favor	Against	Neither	Non-Hateful
kamalaharris joebiden dominate and annihilate trump, joe aka 46 bidenharris2020 winningteam presidentialdebate trumptaxreturns trumphatesourmilitary trumpknew trumpliedpeopledied go joe 	Against	Favor	Neither	Non-Hateful
flywithkamala realdonaldtrump umm.. who built the cages joe 47 years in office, failed to do anything of substance, unless of course you think that the '94 crime bill wasn't racist. which clearly it was. kamala harris: refusing to allow dna evidence to exonerate innocent people in prison. she has my vote!	Neutral mentions	Mixed	Neither	Non-Hateful
people are saying that the ripgop is need of money trump has 100's lawyers on the payroll wkickbacks and you wonder where the money went rrealdonaldtrump maga2020 kag2020 you're money!! votebluetoendthisnightmare	Against	Favor	Neither	Non-Hateful
donaldjtrumpjr don't worry, we are bluewave2020 bidenharris2020 	Neither	Favor	Neither	Non-Hateful
herd mentality herd immunity nurse person. where did she get her na cert at one of trump's schools' i bet! everyone please! - put down your twitter feed, wine and cat so you can get out and vote! (but not twice!) bidenharris2020 trumpisaracist 	Against	Favor	Neither	Non-Hateful
ihateitwhenmen1 realdonaldtrump shut the fuck up,what did obama do for 8 year hun,trump did more than obama in just 4 years	Favor	Neither	Neither	Hateful
stjezabell puestoloco i respectfully disagree. firstly it did take great courage for him to denounce trump. i can only imagine what his inbox must look like. secondly i don't think we should disparage people when they take steps in the right direction even if it is not far enough.	Neutral mentions	Neither	Neither	Non-Hateful
don't compare johnstown to jonestown. jim jones had his goons point guns at his followers in order to get them to drink the cyanide, trump's supporters are drinking it voluntarily. 	Neutral mentions	Neither	Neither	Non-Hateful
jackytreeh0rn oregonian and they will again in a month. the gop will be weakened in the long term by blindly following trump.	Against	Neither	Neither	Non-Hateful
freedomworks yep, chinabiden.. needs more chinamoney to line those pockets before he retires! trump2020	Favor	Against	Neither	Hateful
absolutely. stop wrapping this bloated draft-dodging tax cheat in the flag and vote for a real patriot who won't dismiss 204,000 dead americans as it is what it is. bidenharris2020 	Neither	Favor	Neither	Non-Hateful
justinyselonia funder its going to be interesting to see kamala harris and pelosi grease joe's ass with the 25th amendment next year. this is an example of why this will be so successful. at least we will all be screwed together. 	Neither	Against	Neither	Hateful
if i were in charge, i would subpoena joe biden's bank accounts, rosemont seneca's bank accounts check any large purchases joe mad in cash. after all, he's running for president! we must know if any was funnelled to him. moscowhunter wednesdaywisdom biden maga2020 	Favor	Against	Neither	Non-Hateful
covid sex nope. please win biden bidenharris2020	Neither	Favor	Neither	Non-Hateful
how do you trust and vote for this current trumpadministration with all these sick politicians they don't even lead by example. plague trumpliesamericansdie bidenharris2020	Against	Favor	Neither	Non-Hateful
not well donalddeath 207,000 americans murdered by realdonaldtrump votehimout lyingdonald crookedtrump russianasset bidenharris2020 	Against	Favor	Neither	Hateful
realdonaldtrump teamtrump i have important work to do right now. but it makes me sick seeing all the crap that trump is doing to stay in power. he simply can't get more time to destroy our country. can't have dictatortrump votehimout bidenharris2020	Against	Favor	Neither	Non-Hateful
i hereby declare joe biden as my president and kamala harris as my vice president!! do you!	Neither	Favor	Neither	Non-Hateful
hellbentvet alyssa milano lmao look at you. dissing the people who would even think about donating to your paypal. sorry not sorry. trump2020	Favor	Neither	Neither	Non-Hateful
and why would biden need a microphone on his end. it would be far too obvious for the man to ask anything of his handlers during the debate. i honestly doubt he had communication w anyone. exposure would have ended bidenharris2020. what does anyone else think	Neither	Favor	Neither	Non-Hateful
dangillmor didn't the us government send mail-in voting misinformation out to voters. i might have read that one way was in campaign fliers trump had placed in federally distributed boxes of food for families in need.	Neutral mentions	Neither	Neither	Non-Hateful
gop realdonaldtrump yes all my family friends are voting early for bidenharris2020 also voting bidenharris2020 are my hairdresser, my massage therapist,my neighbors, my mechanic, my doctor. only 1 cuckoo brother was going to vote for you but he moved failed to register at his new address.	Against	Favor	Neither	Non-Hateful
suttonklwc tatereeves lizrnc realdonaldtrump thank you realdonaldtrump and tatereeves , for all you are doing to openupamerica ! if the liberal democrats had it their way, we'd all still be cowering down while our economy crashed around us! trump2020 backtowork backtoschool god bless you both maga kag	Favor	Neither	Neither	Non-Hateful
geeking out over the startrek biden event. man, they got so many actors! favorite part - staceyabrams panel on women leadership. 	Neither	Favor	Neither	Non-Hateful
lesleyabravanel kayleighmcenany the left conspired to frame trump with russia and hang brett kavanaugh in the court of public opinion wo evidence or due process or the presumption of innocence and then impeached trump wo a crime because trump is the fascist. meanwhile.. maga trump2020 kag2020 	Favor	Neither	Neither	Non-Hateful
asteadwesley bakari sellers kingjames excellent!!! i'm gonna sign up to do my part in the purple state of ga!!! votebluetosaveamerica joebiden bidenharris2020 cnndebate foxnews foxandfriends magats your on borrowed time 	Neither	Favor	Neither	Non-Hateful
asasz42032136 allenmartin316 rralstonagile stevethomma joe biden is a weak weak man in many ways. jimmy carter by half. 12 of america literally can't stand kamala today. women will hate on her viciously. enjoy the shit sandwich.	Neither	Against	Neither	Hateful
trumpstudents realdonaldtrump no fakenewsmediaclowns lyinsleepywiredupjoebiden probably played like excited telling everyone that trump2020 supporters switched to support biden .. nope	Favor	Against	Neither	Hateful
sharondigi move it and then put a bigger one in its place! bidenharris2020	Neither	Favor	Neither	Non-Hateful
germanytrump realdonaldtrump trump and jesus christ our savior. bless them both. makeamericagreatagain trumptakeover maga2020	Favor	Neither	Neither	Non-Hateful
christian persecution vote to protect your religious freedom trump2020 	Favor	Neither	Neither	Non-Hateful
a united resistance is the only thing that can save our nation -follow all who: like rt comment realdonaldtrump is the biggest pos to ever exist in our entire multi-versal quantum construct it's time for him to go. resist biden2020 corruptdoj traitortrump 	Against	Favor	Neither	Hateful
a former model accuses trump of sexual assault at the 1997 us open via motherjones dumptrump voteblue2020	Against	Favor	Neither	Non-Hateful
trump rally starting right now - newsmax, oann, rsbn	Neutral mentions	Neither	Neither	Non-Hateful
ah i'm getting fired up and it's still early !! election2020 bidenharris2020	Neither	Favor	Neither	Non-Hateful
beholdisrael democrats have been setting this false narrative up for a while now! deception!! people really need to get out and personally vote! there is already ballots being found that's been thrown out and not counted from the military! it's a discrace to this nation!! trump2020 	Favor	Against	Neither	Non-Hateful
at least 9 people at trump campaign rally in minnesota tested positive for covid-19, health officials say 	Neutral mentions	Neither	Neither	Non-Hateful
cnni kamala harris and.. joe biden. this will be more correct!	Neither	Neutral mentions	Neither	Non-Hateful
you have my support mr. joe biden and ms. kamala harris. may the force be with you.. always. joebiden kamalaharris projectlincoln hamillhimself realdonaldtrump 	Neutral mentions	Favor	Neither	Non-Hateful
43 days tile election day. time for 45 to go! likeretweet if you agree! let's find each other and defeat every! ifb f4f fbr resist blm greennewdeal climatechange prochoice bidenharristosaveamerica bidenharris2020 mitchmustgo ditchmitch trump must go!!!	Against	Favor	Neither	Non-Hateful
dalrymplewill and also sen kamala harris on the way to become the 1st afro-asian woman vice president of usa. what an achievement. we all indians must be proud of her. many congratulations and all the best wishes to sen kamala harris and off course to future president joe biden. 	Neither	Favor	Neither	Non-Hateful
this little kindness act of modi trump won billion hearts- howdy modi- tnn world resident trump's random acts of kindness americandream09 realdonaldtrump trump2020 amd09videotrump flotus ivankatrump donaldjtrumpjr 17plus 	Favor	Neither	Neither	Non-Hateful
kkk lover realdonaldtrump election2020 trump2020 trumpisaracist racistinchief 	Against	Neither	Neither	Hateful
it's going to take me a little bit to get caught up on my follow backs! please know if you're following trump, pence, rudy, kelley anne or anybody else in the cult! i'm not following you back! i support president joe biden and vice president kamala harris! 	Against	Favor	Neither	Non-Hateful
check! your! voter! registration! ! make a plan to vote! use more exclamation points! nvrd nhpolitics bidenharris2020 teamjoe organizenh	Neither	Favor	Neither	Non-Hateful
all the times kamala harris criticized joe biden during the democratic primary | fox news 	Neither	Neutral mentions	Neither	Non-Hateful
how many times did sleepyjoe just say white supremacist to his empty crowd on a battlefield where thousands of republicans were killed to free the slaves from the democrats not one word about blm just peaceful protesters. what a joke.maga2020	Favor	Against	Neither	Hateful
today's donation: helping democrats take back the senate in 2020. trumpcrimefamily taxfraudtrump trumptaxcheat bidenharris2020 votehimout vote votebluetosaveamerica 	Against	Favor	Neither	Hateful
jo jorgensen needs a voice in the debates. we need to break break of this idiotic 2 party system and give americans more option. name one reason why she shouldn't be in the spotlight more. debates2020 jojorgensen2020 trump2020 biden2020	Neutral mentions	Neutral mentions	Neither	Non-Hateful
olivianuzzi erinmperrine so let me get this straight. trump is an expert on a virus that he was infected with that he himself said was a hoax. which is utter nonsense. trump is a sullen, nefarious moron. i bet he will wear a mask now. 200k plus are dead because of his lies. voteblue bidenharris2020	Against	Favor	Neither	Hateful
ocp kuzmin teamtrump there is a traitor that could infiltrate the white house joe biden. he his son sold america out by working with china. then you have the evil kamala deville who waits on biden so that she can become the president. then say goodbye to freedom, and the america as we know it.	Neither	Against	Neither	Non-Hateful
so fucking what! by classicdeepcuts bidenharris2020 wearadamnmask blacklivesmatter 	Neither	Favor	Neither	Non-Hateful
graham won't take a covid test because he's too fearful to debate jaime harrison again. graham knows it will only hurt his chances for re-election further graham made his trump bed.. now he's lying in it.. lindseygrahamhascovid wtpblue onev1 	Neutral mentions	Neither	Neither	Non-Hateful
so amy coney barrett says she never heard about trumps comments about how he needs another seat on the court before the election.. until democrats asked about it harris asked and that was the answer.	Neutral mentions	Neutral mentions	Neither	Non-Hateful
so remember the other night when realdonaldtrump said none of his rally's had been super-spreader events technically that's because his entire candidacy and presidency have been. wearamask americasgreatestmistake bidenharris2020	Against	Favor	Neither	Non-Hateful
joe biden has to be the most nervous man in america right now 2020election presidentialdebate presidentialdebate2020 trumpvsbiden trump2020	Favor	Against	Neither	Non-Hateful
arizonaknowshonor they loved john mccain. my grandfather like mr. cain was a pow arizonavotes captmarkkelly lets voteforourdemocracy bidenharris2020 	Neither	Favor	Neither	Non-Hateful
realmattcouch i think it's really to remove biden so kamala can be president and she can have booty judge booty as vice president	Neither	Mixed	Neither	Hateful
seanhannity do people not get it if biden gets in, it won't be him as president it will be kamala harris.!! joe biden, hillary, obama need to be jailed!!	Neither	Against	Neither	Non-Hateful
donald trump and republicans have assaulted the court. shameless partisanship. and now they want to ram through amy coney barrett in an attempt to overturn roe v. wade. during an election! outrageous. the latest ad from opfdouglass. wewillnotbesilenced 	Against	Neither	Neither	Non-Hateful
for both debates at the same time on different networks .. he won.. hands down.. joe bidenkamala harris 2020 	Neither	Favor	Neither	Non-Hateful
djrothkopf nbcnews and after trump refused to participate in a sanctioned debate	Neutral mentions	Neither	Neither	Non-Hateful
atrupar i'll take the smart one who wears a mask biden2020	Neither	Favor	Neither	Non-Hateful
got my ballot yesterday.. dropped my ballot off at 7:00 am voted bidenharris2020	Neither	Favor	Neither	Non-Hateful
two things are amazing: trump's hostile take-over of the gop and the subsequent nepotism nominating his family as advisers and gop swallowing this administration. what a swamp! 	Against	Neither	Neither	Non-Hateful
donald, you're not fooling anyone. 	Against	Neither	Neither	Non-Hateful
erictrump realdonaldtrump ratings are against you.. and you know how pops lives for the ratings.. bidenharris2020	Against	Favor	Neither	Non-Hateful
why is compassion always one sided bidenharris2020	Neither	Favor	Neither	Non-Hateful
true canuck1 and that attitude is why the gop is going to get buried for a generation, motherfucker. bidenharris2020	Against	Favor	Neither	Hateful
davidmweissman it seems, to me, consistent with jewish faith that good will prevail in the long term - but not necessarily in any individual battle. that said, i cannot believe that the american people merit the hell of another four years of trump. i hope so much for joe kamala to win.	Against	Favor	Neither	Non-Hateful
chris christie tests positive for coronavirus. i am starting to think that the trump2020 team has been hit by a spy. someone that had the chinesevirus got in close to give to the team. would chrischristie do that 	Neutral mentions	Neither	Neither	Hateful
biden stated on national television he does not support the green new deal! he also refused to answer the question, if he was going to pack the court ! in his own word's. c'mon man! how could anyone honestly believe he is nothing more than a liar! trump2020 	Favor	Against	Neither	Non-Hateful
teamtrump realdonaldtrump trump2020 is our most resilient leader. he won't let the covid19 stop him from getting the work done for the american people! his symptoms were mild and nothing to be concerned about. i'm so grateful that we can get back to business as normal. joebiden can resume his campaign. 	Favor	Neutral mentions	Neither	Non-Hateful
so, trump keeps retweeting things that he thinks are arguments against the 25th amendment but some of them are actually arguments against him. he's just struggling with comprehension. which is accidentally an interesting argument for invoking the 25th.	Against	Neither	Neither	Non-Hateful
the fly on pence head doing an interview for ellen tomororw 	Neutral mentions	Neither	Neither	Non-Hateful
.2nd term or prision term bidenharris2020 bidenharris please please please text united or joe to 30330 	Neither	Favor	Neither	Non-Hateful
trump once again -immensely irresponsible, insensitive to those mourning or sick, disgustingly arrogant! voteblue2020 please 	Against	Favor	Neither	Non-Hateful
realdonaldtrump should use his time in quarantine to host live fireside chats. he can talk about the accomplishments of the past four years and lay out his agenda for the next four years. getwellsoonpotus trump2020	Favor	Neither	Neither	Non-Hateful
jallepap the next time someone asks biden what he would do differently about covid, he should just point to this	Neither	Neutral mentions	Neither	Non-Hateful
stop flirting bidenharris2020 	Neither	Favor	Neither	Non-Hateful
michelle obama urges americans to vote for joe biden in new campaign video let's be honest. michelle has no respect for doddering biden, but if realdonaldtrump wins, the criminal investigation into barack's treasonous actions will continue.	Neutral mentions	Against	Neither	Non-Hateful
donaldjtrumpjr he's like drew barrymore in 50 first dates with a memory of a goldfish- joe needs to be re-introduced to kamala harris every day -just to wake up the next morning with no memory of who she is or the correct pronunciation of her name.	Neither	Against	Neither	Non-Hateful
positiveabraham macollins1984 i follow all back. disclaimer: i don't have a filter and i say what is on my mind. trump2020	Favor	Neither	Neither	Non-Hateful
new jersey teen says trump 2020 banner got him tossed from virtual class 	Neutral mentions	Neither	Neither	Non-Hateful
potus this wasn't a good hire sir, you know it, i know it, all of america knows it. i assume you'll fix this on november 4th. maga trump2020 	Favor	Neither	Neither	Non-Hateful
jsolomonreports the new york times should question whether they will be in business this time next year! 4moreyears trump2020	Favor	Neither	Neither	Non-Hateful
remove trump now!!! removetrumpnow save our country from the cheat! protectdemocracy impeachbarr impeachtrumpagain we cannot wait until november! bidenharris2020 speakerpelosi call a vote! stand up! or, get out of the way!	Against	Favor	Neither	Non-Hateful
lakersreporter maybe if her family didn't settle, it could have went a little further. but, it is ironic how the family settles for 12m and then this announcement was made days later! trump2020	Favor	Neither	Neither	Non-Hateful
chrissyteigen oh and you think joe and kamala are truthful!! like they all lie, cheat, and scam stop acting like it's some new thing that president trump is doing!!! and the fact that you use your platform to seep your opinions and emotions into other peoples minds is disgusting!	Favor	Against	Neither	Non-Hateful
trump in iowa right now, just took off his tie and flung it, never seen him do that before wondering if he's breathing alright. just wondering, don't really care!	Against	Neither	Neither	Non-Hateful
magic johnson, joe biden kamala harris.. campaigning for joe biden and his running mate, kamala harris.. 	Neither	Neutral mentions	Neither	Non-Hateful
thread 1) we shouldn't trust what politicians say and this whole rbg vacancy is proof positive. filltheseat fillthevacancy trump2020 maga cocainemitch	Favor	Neither	Neither	Hateful
nixw20 we fight, friend. we fight until our last breath, no matter how badly we want to flee. we are not the cowards. unitedwestand notmyamerica bidenharris 	Neither	Favor	Neither	Non-Hateful
i've finally broken down in tears. it hit home. you're outta here realdonaldtrump, you racist, lying, misogynistic, murdering fraud. president joe biden, vice president president kamala harris.	Against	Favor	Neither	Non-Hateful
who, who and who -gt jojo and chesca drop new diane warren-penned campaign anthems for joe biden and kamala harris via mediaite	Neither	Neutral mentions	Neither	Non-Hateful
given how many times trump and rudy had been warned by the ic this anti-biden stuff was an effort by putin to launder disinfo into us politics, and that our govt declared one of rudy's top contact a russian spy, it's hard not to review this busted op as something akin to treason. 	Against	Neutral mentions	Neither	Non-Hateful
keep at it joebiden kamalaharris votebidenharris2020 bidenharris2020 biden2020 cnn poll: biden expands lead after contentious debate and president's covid diagnosis 	Neither	Favor	Neither	Non-Hateful
comfortablysmug still think trump should challenge kamala to a debate since nancy deemed joe unfit. that would be a classic trump move.	Against	Against	Neither	Non-Hateful
kag2020 maga2020 trumptrain jpcollinsh adell43600342 bluesky61956318 elmarie west theplains6 atvguy nina888881 banfordbilly eddyosullivan3 nothing is free 	Favor	Neither	Neither	Non-Hateful
washingtonpost we the people vow that one way or another, merrickgarland will get his vote too. wepersisted bidenharris	Neither	Favor	Neither	Non-Hateful
realdonaldtrump trumpvirus has now killed around 210,000 americans and almost 7,5000,000 have now caught it including trump, but nothing to see here.. bidenharris2020 	Against	Favor	Neither	Non-Hateful
gop realdonaldtrump markmeadows it's time to listen to the doctor's maga2020 wearamask you're responsible for the continued spread and now one of you got the president sick!	Against	Neither	Neither	Non-Hateful
amy klobuchar, who brought a blow-up poster of trump's tweet, gets amy coney barrett to expand on her past remarks sympathizing more with the dissent in both the pro-aca rulings, nfib (in 2012) and king (in 2015). 	Neutral mentions	Neither	Neither	Non-Hateful
fact don't matter in the hunter biden conspiracy theories any more than in the unmasking story. the strategy is, as steve bannon once said, to flood the zone with shit to distract attention from trump's real wrongdoing. postopinions 	Against	Neither	Neither	Non-Hateful
surereality bubbaprog at least biden wears a mask when dealing with voters, more than trump has ever done at his rallies rant-spitting on his constituents for hours on end. he loves his people that much! trumpisatraitor biden2020 bidenharrislandslide2020 bidenharristosaveamerica trumpfailed	Against	Favor	Neither	Non-Hateful
come meet richardgrenell sunday oct 11th allentown pa supporttheagenda protectourpresident trump2020 	Favor	Neither	Neither	Non-Hateful
we are clearly teetering on the edge of fascism. his presidency has been worse than anybody could have imagined, and the people who have worked for him have said a 2nd term would be even worse. our system is broken, but allowing an autocrat would be worse. vote bidenharris2020 	Against	Favor	Neither	Non-Hateful
votehimout voteblue2020 votebiden nearly 2,000 doj alumni sign letter with dire warning: bill barr is working to rig 2020 election for trump 	Against	Favor	Neither	Non-Hateful
seanhannity what a surprise! now go after biden and his son hunter!	Neither	Against	Neither	Non-Hateful
in massive debt to russian plutocrats and in thrall to the despicable riches that vladimir putin has amassed by murdering his opponents and plundering his nations wealth. of course realdonaldtrump is putin's dog. trumpisnotabillionaire trumptaxreturns maga2020 	Against	Neither	Neither	Non-Hateful
teamtrump president trump please don't let this son of a bitch crazy creepy pedophile motherfucker of joe biden and his brown paper bag bitch of kamala harris wining this elections do not let them win. theirs fraud! we're standing by your side commander-in-chief	Favor	Against	Neither	Hateful
north korea new icbm jan 2017 it will never happen -djt trump vowed they would never test one. they did twice and you can add this to their completion of subsurface launched nukes trumps love for kim, allowed nk to obtain a nuclear triad in 4 yrs 	Against	Neither	Neither	Non-Hateful
vp pence really let the falsehoods fly at this week's debate. here's a fact-check of several of the more egregious ones 	Against	Neither	Neither	Non-Hateful
david geffen, jeffrey katzenberg, jennifer aniston and adam aron are among the donors to the lincoln project, a group that produces anti-trump viral videos 	Neutral mentions	Neither	Neither	Non-Hateful
after last night my thoughts presidentialdebate votehimout shutupman trump joebiden voteblue2020 votehimout2020 	Against	Favor	Neither	Non-Hateful
united states | opinion opinion joe biden wins the election, as last. kamala harris will make history as the first woman to serve as vice president.	Neither	Neutral mentions	Neither	Non-Hateful
this all day everyday. like all bully's when he loses he will back down, concede and walk away. everything is meant to distract. votehimout2020 vote bidenharrislandslide2020 bidenharris2020 	Against	Favor	Neither	Non-Hateful
realdonaldtrump honey i feel less safe secure with you in office than i have ever felt. joe and kamala will fix that. bidenharris2020 	Against	Favor	Neither	Non-Hateful
pamelam41583211 frankamari2 realdonaldtrump senategop housegop yes. brainwashed. watch the video! joe's doing most of the talking. fact. kamala harris talking about joe being a racist but now he's a great guy. all facts. all things that you can research. you should try it. it's amazing!	Neutral mentions	Mixed	Neither	Non-Hateful
ingrahamangle does joe have any clue as to how fast his party will be taking him out if he wins such a farce. he would be president for maybe a day, maybe a week before they claim he has dementia, is unfit and they advance that giggling nit wit kamala.	Neither	Against	Neither	Hateful
devinnunes i can see why!! voteblue2020 votethemout votethemallout2020 flipthesenateblue bidenharrislandslide2020 	Neither	Favor	Neither	Non-Hateful
projectlincoln reedgalen america's nightmare.. because it proves there was no russiancollusion you mean except for the bidens of course. elections2020 debates2020 bidenharris2020 trump2020 	Neutral mentions	Against	Neither	Non-Hateful
ggreenwald this idea that everyone can relax and go to sleep and stop paying attention once the good parents, joe kamala, are in charge what almost nobody has this idea! libs and nat sec rs are not the majority of folks voting against trump. your framing is so far off	Against	Neutral mentions	Neither	Non-Hateful
realdonaldtrump so realdonaldtrump if i don't agree with you i'm automatically someone bad you destroy democracy with your exaggerated scare tactics. vote for joe biden and kamala harris.	Against	Favor	Neither	Non-Hateful
joebiden did you think we forgot about this trump2020 	Favor	Neutral mentions	Neither	Non-Hateful
ewarren joebiden katieporteroc i wish i could vote! so badly! you have a virtual vote from scotland, and i can guarantee you would have many more if we could vote. get trump out of office. he is so incompetent and a danger to america and to the rest of the world. bidenharris2020 votehimout	Against	Favor	Neither	Non-Hateful
it's hard to make out from this vantage point and through the rain, but the statue of liberty is wearing a bidenharris 2020 hat in preparation for tonight's debate. bidenharris2020 	Neither	Favor	Neither	Non-Hateful
2 when trump suggested they should liberate michigan it wasn't a dog whistle to a group of criminals to kidnap her try her for treason or anything like that right given that treason in this country is punishable by death, such groups as these are a grave danger to all of us	Neutral mentions	Neither	Neither	Non-Hateful
gopchairwoman whine whine whine whine whine whine whine whine whine whine whine whine whine whine whine whine whine whine whine whine whine whine whine whine whine whine whine whine whine whine whine whine whine that's all you trump cult geniuses know how to do.	Against	Neither	Neither	Non-Hateful
kaitlancollins if masks work the way everyone says then everyone is protected in the suv. trump2020.	Favor	Neither	Neither	Non-Hateful
soozuk joe biden when he tells kamala harris he got a letter from uk mp he's never heard of 	Neither	Neutral mentions	Neither	Non-Hateful
anniefreyshow more info here: 	Neither	Neither	Neither	Non-Hateful
not one man has the right to tell a woman what to do with her body, especially one that states grab 'em by the pussy., while emphatically mocking women. votebiden voteblue2020 votebidenharris2020 votebluetoendthisnightmare votebluetosaveamerica2020 	Against	Favor	Neither	Non-Hateful
catzzz911 staceyabrams thank you for your thoughts and advice. we are truly trying but this hold trump has on some people is beyond my understanding. this american is going to vote bidenharris2020 though. 	Against	Favor	Neither	Non-Hateful
seriously if your telling me to my research on the president then you do the same! covid19 we are still in a pandemic election2020 bidenharris2020	Neutral mentions	Favor	Neither	Non-Hateful
two hundred thousanf people have died of covid19 under trump's watch. it did not have to be like this. bidenharris2020 will take steps to make us safe. turmp is happy to let us burn, and so he is a weakloser votebidenharristosaveamerica republicansforbiden	Against	Favor	Neither	Non-Hateful
donwinslow presssec kayleighmcenany imagine that another lieing press secretary!!!!!! who would of thought bidenharris2020 bidenharris2020 bidenharris2020 goearlyvote voteearly voteearly voteearly voteearly voteearly	Neither	Favor	Neither	Non-Hateful
it's internationaldayofpeace if you want peace, work for justice. i challenge everyone who sees this to take a positive action for peace and justice today. retweet if you agree. bidenharris2020 demcast internationalpeaceday 	Neither	Favor	Neither	Non-Hateful
realdonaldtrump i bet!! should be, esp. after watching comey today.. trump2020	Favor	Neither	Neither	Non-Hateful
this is bs. if he repeals the trump tax cut it will in fact increase taxes for everyone 	Favor	Neither	Neither	Hateful
use this anger and energy and translate it into a historic landslide for joe biden kamala harris 	Neither	Favor	Neither	Non-Hateful
realtina40 ampfest usa love your enthusiasm and energy tina. you are an inspiration. trump2020	Favor	Neither	Neither	Non-Hateful
realjameswoods the question is not whether amyconeybarrett is worthy of serving as a justice on scotus. the real question: is the supreme court worthy of judge barrett confirmacb confirmamyconeybarrett filltheseat maga2020 kag2020 trump2020 	Favor	Neither	Neither	Non-Hateful
we know what biden supports and we know what you support. bidenharris2020 trumpvirusdeathtoll211k 	Against	Favor	Neither	Non-Hateful
projectlincoln mike madrid americans: you don't have to say whom you are voting for. but deep in my heart i hope that you do vote for bidenharris2020 . we all know that our country can't have another four years of trump.	Against	Favor	Neither	Non-Hateful
totally unethical that barackobama is campaigning for feeble joe biden. he will cover for joe in miami while joe is his basement.i have never seen a former president actively campaigning for a presidential candidate.the democrats don't feel that they can win in my state of fl! 	Neither	Against	Neither	Non-Hateful
kenolin1 senatemajldr joebiden everybody needs to vote for joe so we can make this happen! votebidenharris2020	Neither	Favor	Neither	Non-Hateful
well he is a plagiarizing chronic lier.. he's got that going for him.. trump2020 	Favor	Neither	Neither	Non-Hateful
if you think kamala harris her khive is on americas side, you're wrong. helping raise funds to bail out violent protesters even a pedophile should disqualify her from vp impeached from the senate asap. check out her new business card below. trump2020 trump 	Favor	Against	Neither	Non-Hateful
mmpadellan fornanie bless you, nanie. you have guts. biden2020	Neither	Favor	Neither	Non-Hateful
bertkreischer carson on biden2020 	Neither	Neutral mentions	Neither	Non-Hateful
realdonaldtrump trump: three weeks in, joe is shot, let's go kamala, are you ready just making it clear that this fascist dipstick is literally fantasizing about the assassination of his opponent. cc: fbi secretservice 	Against	Neutral mentions	Neither	Non-Hateful
realdonaldtrump repeal trump and his administration. vote bidenharris2020	Against	Favor	Neither	Non-Hateful
indianapolis election celebration: biden, harris supporters gather via indystar	Neither	Neutral mentions	Neither	Non-Hateful
